Id;Identifier;footprints;quantity;identifications
1;R10,R54,R62,R11,R18,R7,R17,R13,R12,R15,R9,R46,R58,R50,R8,R14,R66,R16;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;18;1k
2;C8,C13,C10,C15,C9,C30,C31,C33,C34,C12,C7,C11,C32,C14;C_Disc_D4.7mm_W2.5mm_P5.00mm;14;0.1uF
3;R30,R61,R32,R31,R33,R35,R45,R65,R49,R57,R34,R53;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;12;10k
4;D6,D3,D1,D4,D5,D2;D_DO-35_SOD27_P7.62mm_Horizontal;6;1N4148
5;U8;TO-220-3_Vertical;1;L7833
6;R48,R47,R52,R55,R56,R44,R60,R43,R64,R51,R59,R63;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;12;4.7k
7;U4,U3;DIP-14_W7.62mm;2;74HC86
8;R25,R28,R22;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;3;1.8k
9;R23,R29,R26;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;3;150k
10;Q1,Q11,Q9,Q3,Q5,Q7;TO-92_Wide;6;2N2907
11;R24,R27,R21;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;3;1.5k
12;J8;TerminalBlock_Phoenix_MKDS-1,5-11-5.08_1x11_P5.08mm_Horizontal;1;Screw_Terminal_01x11
13;C17,C20,C18,C24,C16,C21,C26,C23,C19,C27,C22,C25;C_Disc_D4.7mm_W2.5mm_P5.00mm;12;10nF
14;J4-J2,J8-J6,J1-J3,J5-J7;PinHeader_2x10_P2.54mm_Vertical;4;Conn_02x10_Odd_Even
15;Q12,Q8,Q6,Q2;TO-92_Wide;4;2N2222
16;U2;DIP-14_W7.62mm;1;LM339
17;C2,C1,C4,C6,C3,C5;C_Rect_L18.0mm_W7.0mm_P15.00mm_FKS3_FKP3;6;1uF
18;R19,R20;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;2;3.3k
19;R39,R40,R42,R37,R36,R41,R38;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;7;330
20;U1;DIP-14_W7.62mm;1;TLV2374
21;R2,R6,R5,R1,R3,R4;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;6;270k
22;Q10;TO-92_Wide;1;2N22222
23;J6,J1,J4,J2,J5,J3;Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical;6;Conn_01x02_Female
24;U6,U5;DIP-14_W7.62mm;2;40106
25;J7;TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal;1;Screw_Terminal_01x02
26;RV1;Potentiometer_Bourns_3296W_Vertical;1;R_Potentiometer_Trim
27;C29,C28;C_Disc_D4.7mm_W2.5mm_P5.00mm;2;1nF
28;C35;CP_Radial_D6.3mm_P2.50mm;1;47uF
29;U7;DIP-14_W7.62mm;1;4075
30;Q4;TO-92_Wide;1;PN2222A
31;C36;CP_Radial_D6.3mm_P2.50mm;1;10uF
